query_id,query,relevant_laws (自動標註),relevant_laws (人工修正),source,notes
synthetic_道路交通管理處罰條例第 13 條_penalty_一,"損毀或變造汽車牌照、塗抹污損牌照,或以安裝其他器具之方式,使不能辨認其牌號。會受到什麼處罰？",道路交通管理處罰條例第 13 條,,synthetic,
synthetic_道路交通管理處罰條例第 13 條_penalty_二,"塗改客、貨車身標明之載客人數、載重量、總重量或總聯結重量,與原核定數量不符。會受到什麼處罰？",道路交通管理處罰條例第 13 條,,synthetic,
synthetic_道路交通管理處罰條例第 13 條_penalty_三,"引擎號碼或車身號碼,與原登記位置或模型不符。會受到什麼處罰？",道路交通管理處罰條例第 13 條,,synthetic,
synthetic_道路交通管理處罰條例第 14 條_penalty_一,"牌照遺失或破損,不報請公路主管機關補發、換發或重新申請。會受到什麼處罰？",道路交通管理處罰條例第 14 條,,synthetic,
synthetic_道路交通管理處罰條例第 14 條_penalty_二,"號牌污穢,不洗刷清楚或為他物遮蔽,非行車途中因遇雨、雪道路泥濘所致。會受到什麼處罰？",道路交通管理處罰條例第 14 條,,synthetic,
synthetic_道路交通管理處罰條例第 15 條_penalty_一,"經通知而不依規定期限換領號牌,又未申請延期,仍使用。會受到什麼處罰？",道路交通管理處罰條例第 15 條,,synthetic,
synthetic_道路交通管理處罰條例第 15 條_penalty_二,"領用試車或臨時牌照,期滿未繳還。會受到什麼處罰？",道路交通管理處罰條例第 15 條,,synthetic,
synthetic_道路交通管理處罰條例第 15 條_penalty_三,"領用試車或臨時牌照,載運客貨,收費營業。會受到什麼處罰？",道路交通管理處罰條例第 15 條,,synthetic,
synthetic_道路交通管理處罰條例第 15 條_penalty_四,"領用試車牌照,不在指定路線或區域內試車。會受到什麼處罰？",道路交通管理處罰條例第 15 條,,synthetic,
synthetic_道路交通管理處罰條例第 15 條_penalty_五,"行車執照及拖車使用證有效期屆滿,不依規定換領而行駛。會受到什麼處罰？",道路交通管理處罰條例第 15 條,,synthetic,
synthetic_道路交通管理處罰條例第 16 條_penalty_一,"各項異動,不依規定申報登記。會受到什麼處罰？",道路交通管理處罰條例第 16 條,,synthetic,
synthetic_道路交通管理處罰條例第 16 條_penalty_二,"除頭燈外之燈光、雨刮、喇叭、照後鏡、排氣管、消音器設備不全或損壞不予修復,或擅自 增、減、變更原有規格致影響行車安全。會受到什麼處罰？",道路交通管理處罰條例第 16 條,,synthetic,
synthetic_道路交通管理處罰條例第 16 條_penalty_四,未依規定於車身標明指定標識。會受到什麼處罰？,道路交通管理處罰條例第 16 條,,synthetic,
synthetic_道路交通管理處罰條例第 16 條_penalty_五,"計程車,未依規定裝置自動計費器、車頂燈、執業登記證插座或在前、後兩邊玻璃門上,黏 貼不透明反光紙。會受到什麼處罰？",道路交通管理處罰條例第 16 條,,synthetic,
synthetic_道路交通管理處罰條例第 21 條_penalty_一,未領有駕駛執照駕駛小型車或機車。會受到什麼處罰？,道路交通管理處罰條例第 21 條,,synthetic,
synthetic_道路交通管理處罰條例第 21 條_penalty_二,"領有機車駕駛執照,駕駛小型車。會受到什麼處罰？",道路交通管理處罰條例第 21 條,,synthetic,
synthetic_道路交通管理處罰條例第 21 條_penalty_三,使用偽造、變造或矇領之駕駛執照駕駛小型車或機車。會受到什麼處罰？,道路交通管理處罰條例第 21 條,,synthetic,
synthetic_道路交通管理處罰條例第 21 條_penalty_四,駕駛執照業經吊銷、註銷仍駕駛小型車或機車。會受到什麼處罰？,道路交通管理處罰條例第 21 條,,synthetic,
synthetic_道路交通管理處罰條例第 21 條_penalty_五,駕駛執照吊扣期間駕駛小型車或機車。會受到什麼處罰？,道路交通管理處罰條例第 21 條,,synthetic,
synthetic_道路交通管理處罰條例第 21 條_penalty_六,"領有學習駕駛證,而無領有駕駛執照之駕駛人在旁指導,在駕駛學習場外學習駕車。會受到什麼處罰？",道路交通管理處罰條例第 21 條,,synthetic,
synthetic_道路交通管理處罰條例第 21 條_penalty_七,"領有學習駕駛證,在駕駛學習場外未經許可之學習駕駛道路或規定時間駕車。會受到什麼處罰？",道路交通管理處罰條例第 21 條,,synthetic,
synthetic_道路交通管理處罰條例第 21 條_penalty_八,"未領有駕駛執照,以教導他人學習駕車為業。會受到什麼處罰？",道路交通管理處罰條例第 21 條,,synthetic,
synthetic_道路交通管理處罰條例第 21-1 條_penalty_一,未領有駕駛執照駕車。會受到什麼處罰？,道路交通管理處罰條例第 21-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 21-1 條_penalty_二,領有機車駕駛執照駕車。會受到什麼處罰？,道路交通管理處罰條例第 21-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 21-1 條_penalty_三,領有小型車駕駛執照駕車。會受到什麼處罰？,道路交通管理處罰條例第 21-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 21-1 條_penalty_四,"領有大貨車駕駛執照,駕駛大客車、聯結車或持大客車駕駛執照,駕駛聯結車。會受到什麼處罰？",道路交通管理處罰條例第 21-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 21-1 條_penalty_五,駕駛執照業經吊銷、註銷仍駕車。會受到什麼處罰？,道路交通管理處罰條例第 21-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 21-1 條_penalty_六,使用偽造、變造或矇領之駕駛執照駕車。會受到什麼處罰？,道路交通管理處罰條例第 21-1 條,,synthetic,
synthetic_道路交通管理處罰條例第 22 條_penalty_一,"領有普通駕駛執照,駕駛營業汽車營業。會受到什麼處罰？",道路交通管理處罰條例第 22 條,,synthetic,
synthetic_道路交通管理處罰條例第 22 條_penalty_二,"領有普通駕駛執照,以駕駛為職業。會受到什麼處罰？",道路交通管理處罰條例第 22 條,,synthetic,
synthetic_道路交通管理處罰條例第 22 條_penalty_三,"領有軍用車駕駛執照,駕駛非軍用車。會受到什麼處罰？",道路交通管理處罰條例第 22 條,,synthetic,
synthetic_道路交通管理處罰條例第 22 條_penalty_四,"領有聯結車、大客車、大貨車或小型車駕駛執照,駕駛普通重型機車。會受到什麼處罰？",道路交通管理處罰條例第 22 條,,synthetic,
synthetic_道路交通管理處罰條例第 22 條_penalty_六,"領有輕型機車駕駛執照,駕駛普通重型機車。會受到什麼處罰？",道路交通管理處罰條例第 22 條,,synthetic,
synthetic_道路交通管理處罰條例第 23 條_penalty_一,將駕駛執照供他人駕車。會受到什麼處罰？,道路交通管理處罰條例第 23 條,,synthetic,
synthetic_道路交通管理處罰條例第 23 條_penalty_二,"允許未領有駕駛執照、駕駛執照經吊銷、註銷或吊扣之人,駕駛其車輛。會受到什麼處罰？",道路交通管理處罰條例第 23 條,,synthetic,
synthetic_道路交通管理處罰條例第 25 條_penalty_一,"姓名、出生年、月、日、住址,依法更改而不報請變更登記。會受到什麼處罰？",道路交通管理處罰條例第 25 條,,synthetic,
synthetic_道路交通管理處罰條例第 25 條_penalty_二,"駕駛執照遺失或損毀,不報請公路主管機關補發或依限期申請換發。會受到什麼處罰？",道路交通管理處罰條例第 25 條,,synthetic,
synthetic_道路交通管理處罰條例第 29 條_penalty_一,裝載貨物超過規定之長度、寬度、高度。會受到什麼處罰？,道路交通管理處罰條例第 29 條,,synthetic,
synthetic_道路交通管理處罰條例第 29 條_penalty_二,"裝載整體物品有超重、超長、超寬、超高,而未請領臨時通行證,或未懸掛危險標識。會受到什麼處罰？",道路交通管理處罰條例第 29 條,,synthetic,
synthetic_道路交通管理處罰條例第 29 條_penalty_三,"裝載危險物品,未請領臨時通行證、未依規定懸掛或黏貼危險物品標誌及標示牌、罐槽車之 罐槽體未檢驗合格、運送人員未經專業訓練合格或不遵守有關安全之規定。會受到什麼處罰？",道路交通管理處罰條例第 29 條,,synthetic,
synthetic_道路交通管理處罰條例第 29 條_penalty_四,"貨車或聯結汽車之裝載,不依規定。會受到什麼處罰？",道路交通管理處罰條例第 29 條,,synthetic,
synthetic_道路交通管理處罰條例第 29 條_penalty_五,"汽車牽引拖架或附掛拖車,不依規定。會受到什麼處罰？",道路交通管理處罰條例第 29 條,,synthetic,
synthetic_道路交通管理處罰條例第 29 條_penalty_六,"大貨車裝載貨櫃超出車身之外,或未依規定裝置聯鎖設備。會受到什麼處罰？",道路交通管理處罰條例第 29 條,,synthetic,
synthetic_道路交通管理處罰條例第 30 條_penalty_一,"裝載整體物品有超重、超長、超寬、超高情形,而未隨車攜帶臨時通行證或未依規定路線、 時間行駛。會受到什麼處罰？",道路交通管理處罰條例第 30 條,,synthetic,
synthetic_道路交通管理處罰條例第 30 條_penalty_二,所載貨物滲漏、飛散、脫落、掉落或氣味惡臭。會受到什麼處罰？,道路交通管理處罰條例第 30 條,,synthetic,
synthetic_道路交通管理處罰條例第 30 條_penalty_三,"貨車運送途中附載作業人員,超過規定人數,或乘坐不依規定。會受到什麼處罰？",道路交通管理處罰條例第 30 條,,synthetic,
synthetic_道路交通管理處罰條例第 30 條_penalty_四,"載運人數超過核定數額。但公共汽車於尖峰時刻載重未超過核定總重量,不在此限。會受到什麼處罰？",道路交通管理處罰條例第 30 條,,synthetic,
synthetic_道路交通管理處罰條例第 30 條_penalty_五,小客車前座或貨車駕駛室乘人超過規定人數。會受到什麼處罰？,道路交通管理處罰條例第 30 條,,synthetic,
synthetic_道路交通管理處罰條例第 30 條_penalty_六,車廂以外載客。會受到什麼處罰？,道路交通管理處罰條例第 30 條,,synthetic,
synthetic_道路交通管理處罰條例第 30 條_penalty_七,"載運人客、貨物不穩妥,行駛時顯有危險。會受到什麼處罰？",道路交通管理處罰條例第 30 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_一,行車速度超過規定之最高速限或低於規定之最低速限。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_二,未保持安全距離。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_三,未依規定行駛車道。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_四,未依規定變換車道。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_五,站立乘客。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_六,不依規定使用燈光。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_七,違規超車或跨行車道。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_八,違規減速、臨時停車或停車。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_九,未依規定使用路肩。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_十,未依施工之安全設施指示行駛。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_十一,裝置貨物未依規定覆蓋、捆紮。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_十二,未依標誌、標線、號誌指示行車。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_十三,進入或行駛禁止通行之路段。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_十四,連續密集按鳴喇叭、變換燈光或其他方式迫使前車讓道。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 33 條_penalty_十五,行駛中向車外丟棄物品或廢棄物。會受到什麼處罰？,道路交通管理處罰條例第 33 條,,synthetic,
synthetic_道路交通管理處罰條例第 35 條_penalty_一,酒精濃度超過規定標準。會受到什麼處罰？,道路交通管理處罰條例第 35 條,,synthetic,
synthetic_道路交通管理處罰條例第 37 條_penalty_一,故意殺人、故意重傷、搶劫、搶奪、強盜、恐嚇取財或擄人勒贖。會受到什麼處罰？,道路交通管理處罰條例第 37 條,,synthetic,
synthetic_道路交通管理處罰條例第 37 條_penalty_一,"緩刑期滿,而緩刑之宣告未經撤銷。會受到什麼處罰？",道路交通管理處罰條例第 37 條,,synthetic,
synthetic_道路交通管理處罰條例第 43 條_penalty_一,"在道路上蛇行,或以其他危險方式駕車。會受到什麼處罰？",道路交通管理處罰條例第 43 條,,synthetic,
synthetic_道路交通管理處罰條例第 43 條_penalty_三,"任意以迫近、驟然變換車道或其他不當方式,迫使他車讓道。會受到什麼處罰？",道路交通管理處罰條例第 43 條,,synthetic,
synthetic_道路交通管理處罰條例第 43 條_penalty_四,"非遇突發狀況,在行駛途中任意驟然減速、煞車或於車道中暫停。會受到什麼處罰？",道路交通管理處罰條例第 43 條,,synthetic,
synthetic_道路交通管理處罰條例第 43 條_penalty_五,"拆除消音器,或以其他方式造成噪音。會受到什麼處罰？",道路交通管理處罰條例第 43 條,,synthetic,
synthetic_道路交通管理處罰條例第 44 條_penalty_二,"行近未設行車管制號誌之行人穿越道,不減速慢行。會受到什麼處罰？",道路交通管理處罰條例第 44 條,,synthetic,
synthetic_道路交通管理處罰條例第 44 條_penalty_三,"行經設有彎道、坡路、狹路、狹橋或隧道標誌之路段或道路施工路段,不減速慢行。會受到什麼處罰？",道路交通管理處罰條例第 44 條,,synthetic,
synthetic_道路交通管理處罰條例第 44 條_penalty_四,"行經設有學校、醫院標誌之路段,不減速慢行。會受到什麼處罰？",道路交通管理處罰條例第 44 條,,synthetic,
synthetic_道路交通管理處罰條例第 44 條_penalty_五,未依標誌、標線、號誌指示減速慢行。會受到什麼處罰？,道路交通管理處罰條例第 44 條,,synthetic,
synthetic_道路交通管理處罰條例第 44 條_penalty_六,"行經泥濘或積水道路,不減速慢行,致污濕他人身體、衣物。會受到什麼處罰？",道路交通管理處罰條例第 44 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_一,不按遵行之方向行駛。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_二,在單車道駕車與他車並行。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_三,不依規定駛入來車道。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_四,在多車道不依規定駕車。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_五,插入正在連貫行駛汽車之中間。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_六,駕車行駛人行道。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_七,"行至無號誌之圓環路口,不讓已進入圓環之車輛先行。會受到什麼處罰？",道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_八,"行經多車道之圓環,不讓內側車道之車輛先行。會受到什麼處罰？",道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_九,"支線道車不讓幹線道車先行。少線道車不讓多線道車先行。車道數相同時,左方車不讓右方 車先行。會受到什麼處罰？",道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_十,"起駛前,不讓行進中之車輛、行人優先通行。會受到什麼處罰？",道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_十一,"聞消防車、救護車、警備車、工程救險車、毒性化學物質災害事故應變車之警號,在後跟 隨急駛,或駛過在救火時放置於路上之消防水帶。會受到什麼處罰？",道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_十二,"任意駛出邊線,或任意跨越兩條車道行駛。會受到什麼處罰？",道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_十三,機車不在規定車道行駛。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_十四,"遇幼童專用車、校車、教練車不依規定禮讓,或減速慢行。會受到什麼處罰？",道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_十五,行經無號誌交叉路口及巷道不依規定或標誌、標線指示。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_十六,占用自行車專用道。會受到什麼處罰？,道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 45 條_penalty_十七,"聞或見大眾捷運系統車輛之聲號或燈光,不依規定避讓或在後跟隨迫近。會受到什麼處罰？",道路交通管理處罰條例第 45 條,,synthetic,
synthetic_道路交通管理處罰條例第 46 條_penalty_一,未保持適當之間隔。會受到什麼處罰？,道路交通管理處罰條例第 46 條,,synthetic,
synthetic_道路交通管理處罰條例第 46 條_penalty_二,"在峻狹坡路,下坡車未讓上坡車先行,或上坡車在坡下未讓已駛至中途之下坡車駛過,而爭 先上坡。會受到什麼處罰？",道路交通管理處罰條例第 46 條,,synthetic,
synthetic_道路交通管理處罰條例第 46 條_penalty_三,"在山路行車,靠山壁車輛,未讓道路外緣車優先通過。會受到什麼處罰？",道路交通管理處罰條例第 46 條,,synthetic,
synthetic_道路交通管理處罰條例第 47 條_penalty_一,駕車行經設有彎道、險坡、狹橋、隧道、交岔路口標誌之路段或道路施工地段超車。會受到什麼處罰？,道路交通管理處罰條例第 47 條,,synthetic,
synthetic_道路交通管理處罰條例第 47 條_penalty_三,"在前行車之右側超車,或超車時未保持適當之間隔,或未行至安全距離即行駛入原行路線。會受到什麼處罰？",道路交通管理處罰條例第 47 條,,synthetic,
synthetic_道路交通管理處罰條例第 47 條_penalty_四,"未經前行車表示允讓或靠邊慢行,即行超車。會受到什麼處罰？",道路交通管理處罰條例第 47 條,,synthetic,
synthetic_道路交通管理處罰條例第 48 條_penalty_一,"不注意來、往行人,或轉彎前未減速慢行。會受到什麼處罰？",道路交通管理處罰條例第 48 條,,synthetic,
synthetic_道路交通管理處罰條例第 48 條_penalty_二,不依標誌、標線、號誌指示。會受到什麼處罰？,道路交通管理處罰條例第 48 條,,synthetic,
synthetic_道路交通管理處罰條例第 48 條_penalty_三,"行經交岔路口未達中心處,占用來車道搶先左轉彎。會受到什麼處罰？",道路交通管理處罰條例第 48 條,,synthetic,
synthetic_道路交通管理處罰條例第 48 條_penalty_四,"在多車道右轉彎,不先駛入外側車道,或多車道左轉彎,不先駛入內側車道。會受到什麼處罰？",道路交通管理處罰條例第 48 條,,synthetic,
synthetic_道路交通管理處罰條例第 48 條_penalty_五,"道路設有劃分島,劃分快、慢車道,在慢車道上左轉彎或在快車道右轉彎。但另設有標誌、 標線或號誌管制者,應依其指示行駛。會受到什麼處罰？",道路交通管理處罰條例第 48 條,,synthetic,
synthetic_道路交通管理處罰條例第 48 條_penalty_六,轉彎車不讓直行車先行。會受到什麼處罰？,道路交通管理處罰條例第 48 條,,synthetic,
synthetic_道路交通管理處罰條例第 48 條_penalty_七,"設有左、右轉彎專用車道之交岔路口,直行車占用最內側或最外側或專用車道。會受到什麼處罰？",道路交通管理處罰條例第 48 條,,synthetic,
synthetic_道路交通管理處罰條例第 49 條_penalty_一,在設有彎道、坡路、狹路、狹橋或隧道標誌之路段迴車。會受到什麼處罰？,道路交通管理處罰條例第 49 條,,synthetic,
synthetic_道路交通管理處罰條例第 49 條_penalty_二,在設有禁止迴車標誌或劃有分向限制線、禁止超車線或禁止變換車道線之路段迴車。會受到什麼處罰？,道路交通管理處罰條例第 49 條,,synthetic,
synthetic_道路交通管理處罰條例第 49 條_penalty_三,在禁止左轉路段迴車。會受到什麼處罰？,道路交通管理處罰條例第 49 條,,synthetic,
synthetic_道路交通管理處罰條例第 49 條_penalty_四,"行經圓環路口,不繞行圓環迴車。會受到什麼處罰？",道路交通管理處罰條例第 49 條,,synthetic,
synthetic_道路交通管理處罰條例第 49 條_penalty_五,"迴車前,未依規定暫停,顯示左轉燈光,或不注意來、往車輛、行人,仍擅自迴轉。會受到什麼處罰？",道路交通管理處罰條例第 49 條,,synthetic,
synthetic_道路交通管理處罰條例第 50 條_penalty_一,在設有彎道、坡路、狹路、狹橋、隧道、圓環、單行道標誌之路段、快車道或大眾捷運系統 車輛共用通行交岔路口且為大眾捷運系統車輛導引路線上倒車。會受到什麼處罰？,道路交通管理處罰條例第 50 條,,synthetic,
synthetic_道路交通管理處罰條例第 50 條_penalty_二,"倒車前未顯示倒車燈光,或倒車時不注意其他車輛或行人。會受到什麼處罰？",道路交通管理處罰條例第 50 條,,synthetic,
synthetic_道路交通管理處罰條例第 50 條_penalty_三,"大型汽車無人在後指引時,不先測明車後有足夠之地位,或促使行人避讓。會受到什麼處罰？",道路交通管理處罰條例第 50 條,,synthetic,
synthetic_道路交通管理處罰條例第 54 條_penalty_一,"不遵守看守人員之指示,或警鈴已響、閃光號誌已顯示,或遮斷器開始放下,仍強行闖越。會受到什麼處罰？",道路交通管理處罰條例第 54 條,,synthetic,
